sam_id,address,street,city,state,zip
1.0,"6-10 A ST, HYDE PARK, MA 02136",6-10 A ST,HYDE PARK,MA,02136
2.0,"15 A ST, HYDE PARK, MA 02136",15 A ST,HYDE PARK,MA,02136
17.0,"176-178 A ST, BOSTON, MA 02210",176-178 A ST,BOSTON,MA,02210
20.0,"21 A ST, SOUTH BOSTON, MA 02127",21 A ST,SOUTH BOSTON,MA,02127
22.0,"232 A ST, BOSTON, MA 02210",232 A ST,BOSTON,MA,02210
24.0,"261-275 A ST, BOSTON, MA 02210",261-275 A ST,BOSTON,MA,02210
25.0,"288-304 A ST, BOSTON, MA 02210",288-304 A ST,BOSTON,MA,02210
28.0,"29 A ST, SOUTH BOSTON, MA 02127",29 A ST,SOUTH BOSTON,MA,02127
30.0,"324 A ST, BOSTON, MA 02210",324 A ST,BOSTON,MA,02210
31.0,"326 A ST, BOSTON, MA 02210",326 A ST,BOSTON,MA,02210
50.0,,,,,
51.0,,,,,
52.0,"345 A ST, BOSTON, MA 02210",345 A ST,BOSTON,MA,02210
53.0,"66-72 A ST, SOUTH BOSTON, MA 02127",66-72 A ST,SOUTH BOSTON,MA,02127
55.0,"69-71 A ST, SOUTH BOSTON, MA 02127",69-71 A ST,SOUTH BOSTON,MA,02127
56.0,"80-82 A ST, SOUTH BOSTON, MA 02127",80-82 A ST,SOUTH BOSTON,MA,02127
60.0,"85 A ST, SOUTH BOSTON, MA 02127",85 A ST,SOUTH BOSTON,MA,02127
64.0,,,,,
65.0,"16 ABBOT ST, DORCHESTER, MA 02124",16 ABBOT ST,DORCHESTER,MA,02124
66.0,"17 ABBOT ST, DORCHESTER, MA 02124",17 ABBOT ST,DORCHESTER,MA,02124
67.0,"18 ABBOT ST, DORCHESTER, MA 02124",18 ABBOT ST,DORCHESTER,MA,02124
70.0,,,,,
72.0,"34 ABBOT ST, DORCHESTER, MA 02124",34 ABBOT ST,DORCHESTER,MA,02124
