case_no,status_dttm,status,code,description,violation_stno,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location
V814146,2025-02-12 09:27:00,Open,102.8,Maintenance,1509,Blue Hill,AV,Mattapan,MA,02126,18,17 Brook Rd,Milton,MA,02186,16298.0,42.27237957706929,-71.09389071876852,"(42.27237957706929, -71.09389071876852)"
V815295,2025-02-12 08:41:47,Open,105.1,Failure to Obtain Permit,922,Canterbury,ST,Roslindale,MA,02131,18,126 COMMONWEALTH AV,DEDHAM,MA,02026,25538.0,42.27897960699359,-71.11596075443885,"(42.27897960699359, -71.11596075443885)"
V809952,2025-02-11 12:13:02,Open,105.1,Failure to Obtain Permit,70,Commonwealth,AV,Boston,MA,02116,05,70 COMMONWEALTH AVE,BOSTON,MA,02116,41226.0,42.352319541980954,-71.07489049713848,"(42.352319541980954, -71.07489049713848)"
V815076,2025-02-11 10:39:39,Open,102.8,Maintenance,15,Everdean,ST,Dorchester,MA,02122,16,15 Everdean ST,DORCHESTER,MA,02122,54890.0,42.30086951407573,-71.05094055868085,"(42.30086951407573, -71.05094055868085)"
V814118,2025-02-07 10:25:12,Open,105.1,Failure to Obtain Permit,190,Springfield,ST,Roxbury,MA,02118,09,190 W Springfield St,Boston,MA,02118,129941.0,42.3399395506349,-71.0801005364918,"(42.3399395506349, -71.0801005364918)"
V814112,2025-02-07 09:59:12,Open,107.4,Failed to comply w permit term,7,Curtis,ST,East Boston,MA,02128,01,1 Chelsea Terr,East Boston,MA,02128,45103.0,42.38296957347659,-71.02091692202423,"(42.38296957347659, -71.02091692202423)"
V814101,2025-02-07 09:16:46,Open,102.8,Maintenance,36,Akron,ST,Roxbury,MA,02119,12,22 Broad St,Lynn,MA,01902,1277.0,42.32556353090772,-71.08451585242899,"(42.32556353090772, -71.08451585242899)"
V814097,2025-02-07 09:06:46,Open,102.8,Maintenance,196,Lexington,ST,East Boston,MA,02128,01,272 Broadway,Malden,MA,02148,85572.0,42.37963948611265,-71.03276034298399,"(42.37963948611265, -71.03276034298399)"
V773712,2025-02-05 13:06:27,Open,116,Unsafe Structures,123,Heath,ST,Mission Hill,MA,02120,10,181 DUDLEY RD,NEWTON,MA,02459,72313.0,42.32657658327249,-71.10343561925626,"(42.32657658327249, -71.10343561925626)"
V773698,2025-02-05 13:04:02,Open,116,Unsafe Structures,117,Heath,ST,Mission Hill,MA,02120,10,181 DUDLEY RD,NEWTON,MA,02459,72312.0,42.32657858275778,-71.10294861814144,"(42.32657858275778, -71.10294861814144)"
V813671,2025-02-05 08:33:56,Open,665,Acts 1956 as Amended,1181,Dorchester,AV,Dorchester,MA,02125,15,98 SYDNEY ST,DORCHESTER,MA,02125,48245.0,42.310438949810575,-71.05805630013161,"(42.310438949810575, -71.05805630013161)"
